"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
060405R6,4201,4201,4204,N-experiment,0,Istanbul,2,15,15,,,9.790349,0.0176548,1,20,1,0,1,0,1,0
060405R6,4202,4202,4205,N-experiment,0,Istanbul,2,20,10,,,9.790349,0.0176548,0,20,1,1,1,1,1,1
060405R6,4202,4202,4205,N-experiment,0,Istanbul,2,20,15,,,9.790349,0.0176548,0,20,1,1,1,1,1,1
060405R6,4202,4202,4205,N-experiment,0,Istanbul,2,20,20,,,9.790349,0.0176548,0,20,1,1,1,1,1,1
060405R6,4202,4202,4206,N-experiment,0,Istanbul,2,10,20,,,9.790349,0.0176548,0,18,0,0,1,1,1,1
060405R6,4202,4202,4206,N-experiment,0,Istanbul,2,10,15,,,9.790349,0.0176548,0,18,0,0,1,1,1,1
060405R6,4202,4202,4206,N-experiment,0,Istanbul,2,10,20,,,9.790349,0.0176548,0,18,0,0,1,1,1,1
060405R6,4202,4202,4207,N-experiment,0,Istanbul,2,15,20,,,9.790349,0.0176548,0,20,0,1,1,1,1,1
060405R6,4202,4202,4207,N-experiment,0,Istanbul,2,15,10,,,9.790349,0.0176548,0,20,0,1,1,1,1,1
060405R6,4202,4202,4207,N-experiment,0,Istanbul,2,15,20,,,9.790349,0.0176548,0,20,0,1,1,1,1,1
060405R6,4202,4202,4208,N-experiment,0,Istanbul,2,20,20,,,9.790349,0.0176548,0,22,2,0,0,1,0,1
060405R6,4202,4202,4208,N-experiment,0,Istanbul,2,20,10,,,9.790349,0.0176548,0,22,2,0,0,1,0,1
060405R6,4202,4202,4208,N-experiment,0,Istanbul,2,20,15,,,9.790349,0.0176548,0,22,2,0,0,1,0,1
060405R6,4203,4203,4209,N-experiment,0,Istanbul,2,14,20,,,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4203,4203,4209,N-experiment,0,Istanbul,2,14,8,,,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4203,4203,4209,N-experiment,0,Istanbul,2,14,8,,,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4203,4203,4210,N-experiment,0,Istanbul,2,20,14,,,9.790349,0.0176548,0,20,2,0,1,0,1,1
060405R6,4203,4203,4210,N-experiment,0,Istanbul,2,20,8,,,9.790349,0.0176548,0,20,2,0,1,0,1,1
060405R6,4203,4203,4210,N-experiment,0,Istanbul,2,20,8,,,9.790349,0.0176548,0,20,2,0,1,0,1,1
060405R6,4203,4203,4211,N-experiment,0,Istanbul,2,8,14,,,9.790349,0.0176548,1,18,1,0,1,0,1,1
060405R6,4203,4203,4211,N-experiment,0,Istanbul,2,8,20,,,9.790349,0.0176548,1,18,1,0,1,0,1,1
060405R6,4203,4203,4211,N-experiment,0,Istanbul,2,8,8,,,9.790349,0.0176548,1,18,1,0,1,0,1,1
060405R6,4203,4203,4212,N-experiment,0,Istanbul,2,8,14,,,9.790349,0.0176548,0,21,2,0,0,1,1,0
060405R6,4203,4203,4212,N-experiment,0,Istanbul,2,8,20,,,9.790349,0.0176548,0,21,2,0,0,1,1,0
060405R6,4203,4203,4212,N-experiment,0,Istanbul,2,8,8,,,9.790349,0.0176548,0,21,2,0,0,1,1,0
060405R6,4204,4204,4213,N-experiment,0,Istanbul,2,12,15,,,9.790349,0.0176548,1,19,1,0,1,1,1,1
060405R6,4204,4204,4213,N-experiment,0,Istanbul,2,12,11,,,9.790349,0.0176548,1,19,1,0,1,1,1,1
060405R6,4204,4204,4213,N-experiment,0,Istanbul,2,12,13,,,9.790349,0.0176548,1,19,1,0,1,1,1,1
060405R6,4204,4204,4214,N-experiment,0,Istanbul,2,15,12,,,9.790349,0.0176548,0,22,0,0,0,0,1,1
060405R6,4204,4204,4214,N-experiment,0,Istanbul,2,15,11,,,9.790349,0.0176548,0,22,0,0,0,0,1,1
060405R6,4204,4204,4214,N-experiment,0,Istanbul,2,15,13,,,9.790349,0.0176548,0,22,0,0,0,0,1,1
060405R6,4204,4204,4215,N-experiment,0,Istanbul,2,11,12,,,9.790349,0.0176548,1,21,2,0,0,0,1,1
060405R6,4204,4204,4215,N-experiment,0,Istanbul,2,11,15,,,9.790349,0.0176548,1,21,2,0,0,0,1,1
060405R6,4204,4204,4215,N-experiment,0,Istanbul,2,11,13,,,9.790349,0.0176548,1,21,2,0,0,0,1,1
060405R6,4204,4204,4216,N-experiment,0,Istanbul,2,13,12,,,9.790349,0.0176548,0,20,5,0,1,1,0,1
060405R6,4204,4204,4216,N-experiment,0,Istanbul,2,13,15,,,9.790349,0.0176548,0,20,5,0,1,1,0,1
060405R6,4204,4204,4216,N-experiment,0,Istanbul,2,13,11,,,9.790349,0.0176548,0,20,5,0,1,1,0,1
060405R6,4205,4205,4217,N-experiment,0,Istanbul,2,10,0,,,9.790349,0.0176548,0,21,3,0,0,1,1,1
060405R6,4205,4205,4217,N-experiment,0,Istanbul,2,10,0,,,9.790349,0.0176548,0,21,3,0,0,1,1,1
060405R6,4205,4205,4217,N-experiment,0,Istanbul,2,10,10,,,9.790349,0.0176548,0,21,3,0,0,1,1,1
060405R6,4205,4205,4218,N-experiment,0,Istanbul,2,0,10,,,9.790349,0.0176548,0,22,3,0,0,1,1,1
060405R6,4205,4205,4218,N-experiment,0,Istanbul,2,0,0,,,9.790349,0.0176548,0,22,3,0,0,1,1,1
060405R6,4205,4205,4218,N-experiment,0,Istanbul,2,0,10,,,9.790349,0.0176548,0,22,3,0,0,1,1,1
060405R6,4205,4205,4219,N-experiment,0,Istanbul,2,0,10,,,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4205,4205,4219,N-experiment,0,Istanbul,2,0,0,,,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4205,4205,4219,N-experiment,0,Istanbul,2,0,10,,,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4205,4205,4220,N-experiment,0,Istanbul,2,10,10,,,9.790349,0.0176548,1,21,,0,0,1,1,1
060405R6,4205,4205,4220,N-experiment,0,Istanbul,2,10,0,,,9.790349,0.0176548,1,21,,0,0,1,1,1
060405R6,4205,4205,4220,N-experiment,0,Istanbul,2,10,0,,,9.790349,0.0176548,1,21,,0,0,1,1,1
060405R6,4201,4201,4201,N-experiment,0,Istanbul,3,16,15,,,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4201,4201,4201,N-experiment,0,Istanbul,3,16,20,,,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4201,4201,4201,N-experiment,0,Istanbul,3,16,14,,,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4201,4201,4202,N-experiment,0,Istanbul,3,15,16,,,9.790349,0.0176548,0,21,5,0,0,1,1,1
060405R6,4201,4201,4202,N-experiment,0,Istanbul,3,15,20,,,9.790349,0.0176548,0,21,5,0,0,1,1,1
060405R6,4201,4201,4202,N-experiment,0,Istanbul,3,15,14,,,9.790349,0.0176548,0,21,5,0,0,1,1,1
060405R6,4201,4201,4203,N-experiment,0,Istanbul,3,20,16,,,9.790349,0.0176548,0,20,3,0,1,1,0,1
060405R6,4201,4201,4203,N-experiment,0,Istanbul,3,20,15,,,9.790349,0.0176548,0,20,3,0,1,1,0,1
060405R6,4201,4201,4203,N-experiment,0,Istanbul,3,20,14,,,9.790349,0.0176548,0,20,3,0,1,1,0,1
060405R6,4201,4201,4204,N-experiment,0,Istanbul,3,14,16,,,9.790349,0.0176548,1,20,1,0,1,0,1,0
060405R6,4201,4201,4204,N-experiment,0,Istanbul,3,14,15,,,9.790349,0.0176548,1,20,1,0,1,0,1,0
