"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
011108KA,701,757,701,P-experiment,1,Samara,2,0,5,0,10,8.050114,-0.8842833,1,22,16,0,0,1,0,0
011108KA,701,757,701,P-experiment,1,Samara,2,0,15,1,10,8.050114,-0.8842833,1,22,16,0,0,1,0,0
011108KA,701,757,701,P-experiment,1,Samara,2,0,18,2,10,8.050114,-0.8842833,1,22,16,0,0,1,0,0
011108KA,701,757,702,P-experiment,1,Samara,2,5,0,1,3,8.050114,-0.8842833,1,21,10,0,0,1,1,1
011108KA,701,757,702,P-experiment,1,Samara,2,5,15,1,3,8.050114,-0.8842833,1,21,10,0,0,1,1,1
011108KA,701,757,702,P-experiment,1,Samara,2,5,18,1,3,8.050114,-0.8842833,1,21,10,0,0,1,1,1
011108KA,704,757,703,P-experiment,1,Samara,2,20,20,0,0,8.050114,-0.8842833,1,21,14,0,0,0,0,0
011108KA,704,757,703,P-experiment,1,Samara,2,20,20,0,0,8.050114,-0.8842833,1,21,14,0,0,0,0,0
011108KA,704,757,703,P-experiment,1,Samara,2,20,20,0,0,8.050114,-0.8842833,1,21,14,0,0,0,0,0
011108KA,702,757,704,P-experiment,1,Samara,2,10,3,0,5,8.050114,-0.8842833,1,26,15,0,0,0,1,0
011108KA,702,757,704,P-experiment,1,Samara,2,10,0,1,5,8.050114,-0.8842833,1,26,15,0,0,0,1,0
011108KA,702,757,704,P-experiment,1,Samara,2,10,0,1,5,8.050114,-0.8842833,1,26,15,0,0,0,1,0
011108KA,701,757,705,P-experiment,1,Samara,2,15,0,4,2,8.050114,-0.8842833,1,21,12,0,0,1,1,1
011108KA,701,757,705,P-experiment,1,Samara,2,15,5,2,2,8.050114,-0.8842833,1,21,12,0,0,1,1,1
011108KA,701,757,705,P-experiment,1,Samara,2,15,18,0,2,8.050114,-0.8842833,1,21,12,0,0,1,1,1
011108KA,703,757,706,P-experiment,1,Samara,2,13,5,4,0,8.050114,-0.8842833,1,21,15,0,0,1,1,1
011108KA,703,757,706,P-experiment,1,Samara,2,13,10,2,0,8.050114,-0.8842833,1,21,15,0,0,1,1,1
011108KA,703,757,706,P-experiment,1,Samara,2,13,13,0,0,8.050114,-0.8842833,1,21,15,0,0,1,1,1
011108KA,701,757,707,P-experiment,1,Samara,2,18,0,5,3,8.050114,-0.8842833,1,21,15,1,0,1,1,0
011108KA,701,757,707,P-experiment,1,Samara,2,18,5,1,3,8.050114,-0.8842833,1,21,15,1,0,1,1,0
011108KA,701,757,707,P-experiment,1,Samara,2,18,15,0,3,8.050114,-0.8842833,1,21,15,1,0,1,1,0
011108KA,703,757,708,P-experiment,1,Samara,2,5,13,0,9,8.050114,-0.8842833,1,21,5,0,0,1,1,0
011108KA,703,757,708,P-experiment,1,Samara,2,5,10,0,9,8.050114,-0.8842833,1,21,5,0,0,1,1,0
